Id,IsActive,Name,RegionId,CreatedDate,LastModifiedDate
1,0,Afghanistan,2,2022-02-16 20:19:35,2023-02-25 10:42:14
2,1,Albania,1,2021-07-03 15:15:43,2022-07-09 12:01:15
3,0,Algeria,4,2022-03-25 17:01:16,2022-10-17 00:06:16
4,0,Andorra,1,2021-09-01 00:07:41,2022-06-08 01:06:08
5,1,Angola,4,2021-06-13 00:06:30,2023-04-03 14:33:20
6,0,Argentina,3,2021-06-07 04:32:40,2022-10-13 16:26:38
7,1,Armenia,2,2022-02-07 19:38:40,2023-01-29 08:03:55
8,1,Australia,5,2021-12-06 02:24:00,2023-01-26 10:28:45
9,1,Austria,1,2021-11-28 01:28:52,2022-07-28 23:17:26
10,1,Azerbaijan,2,2021-07-06 11:45:34,2022-08-11 09:11:22
11,1,Bahamas,3,2022-03-05 02:21:55,2022-07-15 17:04:02
12,0,Bahrain,2,2022-04-25 08:07:13,2022-06-06 22:55:04
13,1,Bangladesh,2,2021-12-13 09:58:51,2022-12-07 07:30:51
14,1,Barbados,3,2022-05-08 23:28:48,2022-09-06 07:13:39
15,1,Belarus,1,2021-06-26 02:39:54,2023-02-15 09:56:00
16,1,Belgium,1,2021-12-28 04:12:30,2023-05-21 14:03:16
17,0,Belize,3,2021-11-28 23:23:25,2022-06-27 21:46:22
18,1,Benin,4,2022-01-20 14:56:48,2023-02-18 11:18:00
19,0,Bermuda,3,2021-07-05 13:46:40,2022-12-18 07:13:41
20,0,Bhutan,2,2022-01-11 21:35:50,2022-06-19 03:05:20
21,0,Bolivia,3,2021-09-13 17:37:12,2023-04-17 10:27:18
22,1,Bosnia and Herzegovina,1,2022-01-03 03:13:42,2022-06-25 18:35:15
23,1,Botswana,4,2022-02-06 09:19:39,2022-09-26 17:30:15
24,0,Brazil,3,2021-12-04 20:29:06,2023-04-27 10:53:52
25,1,Brunei Darussalam,2,2021-10-16 23:58:11,2022-09-12 18:11:40
26,1,Bulgaria,1,2021-09-05 19:10:01,2023-02-10 20:11:37
27,0,Burkina Faso,4,2022-05-29 13:53:46,2022-08-17 23:05:47
28,0,Burundi,4,2021-11-24 02:47:01,2023-05-07 16:44:35
29,1,Cambodia,2,2021-12-23 22:21:42,2023-02-14 16:44:46
30,1,Cameroon,4,2021-06-08 12:47:09,2022-12-15 14:30:51
31,1,Canada,3,2021-06-28 10:49:55,2022-06-03 12:32:12
32,0,Cayman Islands,3,2021-10-08 13:26:25,2022-07-27 02:40:47
33,0,Central African Republic,4,2022-03-03 18:42:17,2022-12-01 21:43:38
34,1,Chad,4,2022-02-11 07:53:20,2022-10-25 19:47:39
35,1,Chile,3,2021-08-04 22:30:07,2022-06-22 07:36:38
36,1,China,2,2021-06-30 15:27:11,2023-01-15 10:49:25
37,0,Colombia,3,2021-12-10 21:22:39,2022-08-03 23:16:55
38,1,Congo,4,2021-06-30 06:57:00,2023-01-03 17:21:19
39,1,Democratic Republic of the Congo,4,2021-08-23 13:43:34,2022-07-27 07:07:43
40,1,Costa Rica,3,2021-06-11 13:45:30,2023-05-31 06:59:46
41,0,Côte d'Ivoire,4,2021-10-13 12:00:23,2023-03-27 16:42:55
42,0,Croatia,1,2021-07-14 02:27:38,2022-12-23 23:39:59
43,1,Cuba,3,2021-07-25 21:14:21,2023-02-16 16:11:27
44,0,Cyprus,2,2021-09-27 15:22:02,2022-11-24 15:34:06
45,1,Czechia,1,2021-06-16 09:54:11,2022-11-09 22:23:58
46,0,Denmark,1,2021-09-16 12:42:43,2023-02-13 12:32:57
47,0,Djibouti,4,2022-04-10 06:08:33,2022-06-16 21:23:46
48,1,Dominica,3,2021-08-08 21:51:28,2022-09-14 18:49:09
49,0,Dominican Republic,3,2021-07-31 01:36:09,2022-09-25 21:24:22
50,1,Ecuador,3,2022-04-26 05:00:34,2022-07-31 07:11:04
51,1,Egypt,4,2022-03-30 15:17:42,2023-04-21 03:04:21
52,0,El Salvador,3,2021-11-28 10:22:25,2022-06-17 05:23:39
53,0,Eritrea,4,2022-01-05 17:25:51,2022-10-29 06:09:08
54,1,Estonia,1,2022-03-24 20:18:23,2022-10-15 01:05:51
55,0,Ethiopia,4,2021-12-10 14:37:15,2022-10-11 23:36:30
56,1,Fiji,5,2022-01-13 09:33:26,2023-04-14 08:38:54
57,0,Finland,1,2021-11-29 20:05:16,2022-12-03 02:41:45
58,1,France,1,2021-06-18 15:24:02,2023-04-01 07:43:38
59,0,Gabon,4,2022-05-29 08:42:40,2022-12-01 03:12:32
60,1,Gambia,4,2022-05-04 23:38:44,2023-04-14 16:51:33
61,0,Georgia,2,2022-01-18 01:55:19,2023-05-09 15:28:00
62,1,Germany,1,2021-08-06 01:08:56,2022-11-18 23:59:47
63,1,Ghana,4,2022-03-12 22:02:33,2023-03-31 14:42:05
64,0,Gibraltar,1,2021-12-19 16:18:48,2023-04-13 16:35:56
65,0,Greece,1,2021-11-18 02:09:51,2022-09-24 02:35:18
66,0,Greenland,3,2021-09-15 20:28:08,2022-07-19 09:16:31
67,0,Grenada,3,2022-03-30 01:18:02,2022-08-12 08:46:56
68,0,Guadeloupe,3,2021-11-09 17:19:44,2022-11-17 15:01:58
69,0,Guam,5,2022-03-26 17:04:55,2022-07-17 16:10:40
70,1,Guatemala,3,2022-05-31 17:54:41,2022-12-24 00:44:49
71,0,Guernsey,1,2021-07-11 01:47:51,2023-04-19 09:25:35
72,0,Guinea,4,2022-04-23 11:35:05,2022-12-06 17:03:49
73,0,Guinea-Bissau,4,2021-10-25 09:06:55,2023-04-14 20:29:39
74,1,Guyana,3,2022-04-14 05:41:45,2023-02-11 04:40:28
75,1,Haiti,3,2021-09-08 06:05:39,2023-02-05 05:36:54
76,1,Holy See,1,2021-08-14 09:00:02,2022-10-13 09:32:47
77,0,Honduras,3,2021-07-13 01:00:15,2023-03-01 03:55:01
78,0,Hong Kong,2,2022-02-27 22:37:20,2023-04-11 19:51:16
79,0,Hungary,1,2021-08-01 01:49:40,2023-01-12 16:30:49
80,1,Iceland,1,2022-05-19 15:59:13,2022-09-13 21:00:07
81,1,India,2,2021-07-31 04:10:30,2023-04-26 13:54:21
82,0,Indonesia,2,2022-04-23 10:44:04,2023-03-07 22:44:25
83,1,Iran,2,2021-10-04 16:02:35,2023-04-05 11:11:55
84,0,Iraq,2,2022-04-02 16:10:40,2022-11-21 17:56:00
85,1,Ireland,1,2022-03-07 22:09:49,2022-06-28 18:19:17
86,1,Isle of Man,1,2021-07-01 12:30:01,2022-11-01 18:35:36
87,1,Israel,2,2021-08-23 04:55:25,2022-06-19 19:35:10
88,1,Italy,1,2022-05-14 10:32:29,2022-09-20 09:37:07
89,0,Jamaica,3,2022-04-09 01:09:07,2022-06-16 00:47:47
90,1,Japan,2,2021-08-25 05:46:44,2022-12-15 01:35:08
91,1,Jersey,1,2022-04-19 05:32:23,2022-07-05 07:47:03
92,1,Jordan,2,2022-04-04 22:17:21,2023-05-29 13:13:34
93,1,Kazakhstan,2,2022-05-31 16:43:34,2023-02-27 21:25:23
94,1,Kenya,4,2021-10-02 03:25:30,2022-09-27 23:17:18
95,1,Kiribati,5,2021-11-27 00:11:12,2022-06-26 23:56:49
96,1,Republic of Korea,2,2022-01-14 05:18:24,2022-09-09 06:04:20
97,0,Kuwait,2,2022-04-29 16:07:20,2022-06-29 15:04:01
98,1,Kyrgyzstan,2,2022-02-23 13:17:29,2022-11-13 20:06:17
99,0,Latvia,1,2021-08-18 10:42:55,2022-07-10 14:46:37
100,1,Lebanon,2,2021-11-02 01:54:56,2022-08-15 20:29:02
101,0,Liberia,4,2022-03-01 18:40:17,2023-05-11 12:56:17
102,0,Libya,4,2022-05-11 15:38:01,2022-11-26 18:10:12
103,1,Liechtenstein,1,2021-12-12 10:03:54,2022-09-01 01:23:38
104,0,Lithuania,1,2022-04-14 22:10:05,2023-04-07 00:23:08
105,0,Luxembourg,1,2021-10-19 08:02:13,2023-05-28 20:26:39
106,0,Macao,2,2022-04-30 12:26:10,2022-08-19 22:08:54
107,0,Madagascar,4,2021-12-18 01:22:03,2023-05-12 19:01:55
108,1,Malawi,4,2022-02-28 19:53:16,2022-11-11 20:17:02
109,1,Malaysia,2,2021-08-07 21:07:44,2023-01-14 06:42:21
110,0,Maldives,2,2021-08-18 23:25:12,2022-09-26 11:25:37
111,0,Mali,4,2021-06-24 11:02:18,2023-04-12 22:59:06
112,0,Malta,1,2021-10-15 22:18:24,2022-12-25 19:04:40
113,0,Mexico,3,2021-07-30 11:31:41,2022-12-12 07:09:08
114,0,Republic of Moldova,1,2022-05-19 01:43:32,2023-03-28 14:34:27
115,0,Monaco,1,2021-12-31 06:14:16,2022-12-01 18:05:01
116,0,Mongolia,2,2021-10-08 15:45:04,2022-07-25 03:42:28
117,0,Montenegro,1,2021-07-21 21:17:01,2022-06-19 22:43:45
118,0,Montserrat,3,2022-01-29 13:43:07,2022-08-04 09:18:58
119,1,Morocco,4,2022-05-26 09:45:10,2022-07-27 13:29:34
120,1,Mozambique,4,2022-04-24 04:04:05,2022-12-30 08:21:09
121,0,Myanmar,2,2021-06-28 03:00:58,2023-03-05 11:44:51
122,0,Namibia,4,2021-10-05 08:46:44,2022-08-06 16:43:03
123,1,Nepal,2,2021-06-01 16:48:20,2023-02-15 19:06:32
124,1,Netherlands,1,2022-02-18 01:32:05,2022-06-24 21:35:16
125,1,New Zealand,5,2022-02-03 22:06:10,2022-07-05 07:20:35
126,0,Niger,4,2022-03-22 09:07:22,2023-04-04 21:36:11
127,0,Nigeria,4,2021-07-28 14:54:51,2023-05-22 20:01:18
128,1,North Macedonia,1,2021-08-24 07:48:06,2022-06-16 18:39:41
129,0,Norway,1,2021-11-16 02:37:55,2022-10-31 07:09:25
130,0,Oman,2,2022-03-14 03:40:28,2022-10-05 06:23:27
131,0,Pakistan,2,2021-08-20 11:23:24,2023-04-16 20:03:25
132,1,Palau,5,2022-02-18 01:39:23,2022-10-27 07:42:45
133,1,Panama,3,2022-05-30 16:40:23,2023-05-06 19:35:42
134,1,Papua New Guinea,5,2022-05-22 11:22:56,2022-09-18 00:53:39
135,0,Paraguay,3,2021-12-26 18:38:59,2023-02-01 15:53:11
136,1,Peru,3,2022-05-24 17:52:16,2022-09-27 13:07:33
137,0,Philippines,2,2021-11-11 22:34:11,2022-10-03 03:31:23
