Id,Name,Description,Prep_Notes,Provisional,StartDate,EndDate,CreatedDate,Last_Modified_Date,Pathway_ID,Venue_ID,Region_ID
1,GCP,This is the description for course GCP,These are the prep notes for course GCP,0,2023-06-12,2023-06-16,2015-09-29 11:22:46,2017-07-18 22:12:15,11,1,1
2,Java,This is the description for course Java,These are the prep notes for course Java,0,2023-06-05,2023-06-09,2016-08-19 13:23:23,2022-07-09 06:48:32,4,2,3
3,HTML,This is the description for course HTML,These are the prep notes for course HTML,0,2023-05-29,2023-06-02,2015-12-16 17:46:53,2018-05-25 10:25:19,10,3,1
4,SQL,This is the description for course SQL,These are the prep notes for course SQL,1,2023-06-19,2023-06-23,2017-03-28 08:00:39,2020-06-05 08:16:17,13,4,3
5,C#,This is the description for course C#,These are the prep notes for course C#,1,2023-06-26,2023-06-30,2017-05-15 14:15:32,2022-01-31 23:50:31,3,5,2
6,Forecasting,This is the description for course Forecasting,These are the prep notes for course Forecasting,1,2023-07-03,2023-07-17,2015-06-08 09:50:58,2017-05-21 13:09:32,10,6,3
7,Business Skills,This is the description for course Business Skills,These are the prep notes for course Business Skills,1,2023-07-20,2023-07-24,2016-09-21 02:39:11,2021-01-21 00:29:32,5,7,1
8,Consulting Skills,This is the description for course Consulting Skills,These are the prep notes for course Consulting Skills,0,2023-08-25,2023-08-28,2016-12-30 04:07:11,2015-09-10 13:40:31,8,8,2
9,Excel,This is the description for course Excel,These are the prep notes for course Excel,1,2023-04-28,2023-05-05,2016-02-23 18:48:11,2016-11-15 02:14:08,6,9,1
10,Powerpoint,This is the description for course Powerpoint,These are the prep notes for course Powerpoint,0,2023-04-03,2023-04-14,2016-09-06 13:22:35,2015-07-27 22:52:29,3,10,1
11,RRC,This is the description for course RRC,These are the prep notes for course RRC,0,2023-02-01,2023-02-08,2016-08-17 12:19:54,2019-12-03 03:54:19,9,11,1
12,Risk Management,This is the description for course Risk Management,These are the prep notes for course Risk Management,0,2023-02-09,2023-02-23,2015-12-06 01:50:17,2016-03-08 15:40:38,9,12,3
