Id,Abbreviation,CountryId,IsActive,IsPopUp,Name,CreatedDate,LastModifiedDate
1,LON,173,1,0,London,2022-01-21 18:02:05,2022-12-23 09:12:21
2,LEE,173,1,0,Leeds,2021-06-11 03:18:27,2023-04-20 05:57:34
3,GLA,173,1,0,Glasgow,2021-12-03 21:31:25,2022-12-25 23:25:02
4,BRI,173,1,0,Brighton,2022-02-02 18:51:17,2022-12-11 20:01:50
5,NEW,174,1,0,New York City,2021-11-09 05:48:29,2023-05-18 01:17:15
6,RES,174,1,0,Reston,2021-09-26 11:20:06,2022-08-27 11:07:38
7,TOR,31,1,0,Toronto,2021-06-03 13:31:44,2023-01-09 19:55:00
8,FRA,62,1,0,Frankfurt,2021-10-12 07:53:24,2022-06-22 12:22:01
9,HON,36,1,0,Hong Kong,2022-05-29 14:46:17,2022-08-12 16:05:19
10,SHA,36,1,0,Shanghai,2021-11-26 09:54:05,2022-10-14 20:42:54
11,SIN,150,1,0,Singapore,2022-03-27 11:49:18,2022-10-15 03:29:03
12,SYD,8,1,0,Sydney,2021-11-10 05:21:48,2023-03-07 04:44:38
