Id,CreatedBy,Description,Name,PathwayId,RegionId,CreatedDate,LastModifiedDate
1,Joseph Powell,This is the description for Pathway Type 1,Pathway Type 1,7,1,2021-06-16 01:37:47,2022-11-25 13:39:20
2,Elizabeth Tran,This is the description for Pathway Type 2,Pathway Type 2,10,3,2022-05-04 20:35:09,2022-06-11 14:27:08
3,Jonathon Barton,This is the description for Pathway Type 3,Pathway Type 3,9,1,2022-03-26 10:46:15,2023-05-29 14:57:11
4,Teresa Beck,This is the description for Pathway Type 4,Pathway Type 4,13,2,2022-02-10 02:48:13,2022-09-12 13:43:59
5,Brian Campbell,This is the description for Pathway Type 5,Pathway Type 5,9,2,2022-04-02 23:34:57,2022-06-11 07:49:31
6,Samantha Alexander,This is the description for Pathway Type 6,Pathway Type 6,12,2,2021-12-08 23:07:59,2023-03-16 00:37:19
7,Andrea Cole,This is the description for Pathway Type 7,Pathway Type 7,7,2,2021-06-14 16:00:54,2022-12-29 05:27:24
8,Tammy Farmer,This is the description for Pathway Type 8,Pathway Type 8,8,3,2022-02-24 16:01:28,2022-09-14 06:21:55
9,John Burgess,This is the description for Pathway Type 9,Pathway Type 9,4,2,2021-10-21 15:45:36,2022-09-29 14:24:00
10,Tammy Farmer,This is the description for Pathway Type 10,Pathway Type 10,7,1,2022-02-24 07:50:52,2022-08-15 21:28:22
11,Jessica Richards,This is the description for Pathway Type 11,Pathway Type 11,9,1,2021-07-22 20:44:55,2022-06-17 02:01:52
12,Charles Carney,This is the description for Pathway Type 12,Pathway Type 12,8,1,2022-01-24 11:45:23,2022-08-07 16:09:58
13,Joshua Newton,This is the description for Pathway Type 13,Pathway Type 13,13,1,2021-06-08 05:11:11,2022-09-28 11:34:41
14,Michael Gonzalez,This is the description for Pathway Type 14,Pathway Type 14,9,2,2021-07-02 03:31:49,2023-03-21 05:41:03
15,David Harper,This is the description for Pathway Type 15,Pathway Type 15,11,1,2022-02-08 06:06:11,2022-11-27 02:01:18
