Id,CourseId,TrainerId,TrainerRoleId,CreatedDate,LastModifiedDate
1,11,84,1,2021-08-13 08:13:24,2022-12-13 01:06:58
2,9,18,2,2021-08-11 19:49:55,2023-04-22 13:09:09
3,12,31,2,2021-07-20 05:57:13,2022-12-09 03:35:31
4,9,2,3,2021-07-30 07:28:28,2023-03-03 03:41:25
5,11,76,2,2021-09-03 04:44:42,2022-10-10 22:33:37
6,1,64,3,2021-11-23 12:51:03,2023-02-27 20:36:07
7,8,68,2,2021-11-11 06:02:04,2022-09-05 03:06:13
8,3,58,3,2022-05-07 18:45:14,2023-03-15 04:20:00
9,3,10,2,2021-12-12 13:47:18,2022-07-10 07:31:50
10,6,23,3,2021-12-13 04:45:07,2023-04-11 01:11:10
11,9,47,3,2021-11-18 20:17:23,2022-12-02 12:42:27
12,11,29,3,2022-04-17 22:36:13,2022-08-10 07:07:41
13,2,87,3,2021-09-10 03:02:09,2023-03-04 15:37:44
14,4,91,3,2022-05-29 17:53:52,2023-05-12 02:39:31
15,10,13,1,2021-08-25 12:36:58,2023-03-02 14:44:37
16,8,90,2,2022-03-07 01:05:31,2022-08-19 11:33:35
17,4,44,3,2021-11-17 09:52:37,2023-03-09 13:26:03
18,5,65,3,2022-02-28 02:01:33,2022-10-12 18:37:17
19,2,25,1,2021-11-25 23:50:58,2022-06-23 07:18:47
20,1,93,1,2021-10-11 04:33:50,2022-11-01 01:24:29
21,11,10,3,2021-09-21 01:48:57,2023-04-12 13:01:23
22,9,62,3,2022-05-07 04:24:53,2022-08-07 23:13:59
23,6,42,1,2021-12-20 09:48:50,2022-12-28 01:01:36
24,5,1,1,2022-02-15 11:18:18,2023-04-27 06:26:00
25,12,96,3,2022-02-03 05:46:15,2023-03-28 04:17:29
26,5,26,2,2022-01-29 17:18:17,2022-07-15 07:31:38
27,10,28,3,2022-02-10 05:39:58,2023-02-12 05:21:33
28,1,12,3,2022-03-27 05:50:01,2023-02-09 19:02:21
29,9,94,1,2022-02-08 17:06:41,2022-07-20 05:21:53
30,6,99,3,2021-11-07 20:04:56,2022-12-28 14:55:55
