Id,Active,MaxCapacity,Name,OfficeId,CreatedDate,LastModifiedDate
1,1,143,Reston Office Room 14,6,2022-03-23 19:16:22,2022-07-30 12:56:33
2,1,161,London Office Room 15,1,2022-05-29 00:05:22,2023-05-10 23:17:48
3,1,38,Brighton Office Room 17,4,2021-12-18 08:19:09,2022-11-26 06:47:34
4,1,198,Sydney Office Room 21,12,2021-08-01 08:32:37,2022-07-04 08:26:16
5,0,196,Brighton Office Room 4,4,2021-06-22 23:29:10,2023-01-02 21:49:18
6,1,104,Frankfurt Office Room 18,8,2022-03-10 11:10:40,2022-12-22 04:57:25
7,0,170,Shanghai Office Room 15,10,2022-03-27 17:40:31,2023-04-17 06:39:37
8,1,149,Brighton Office Room 22,4,2021-06-04 07:01:09,2023-05-19 10:38:36
9,0,116,Reston Office Room 17,6,2022-05-06 07:58:12,2023-05-13 04:10:03
10,0,116,Glasgow Office Room 13,3,2021-12-21 08:31:48,2023-05-29 22:17:20
11,1,179,New York City Office Room 20,5,2021-12-07 08:30:12,2022-12-22 12:41:51
12,1,158,Frankfurt Office Room 30,8,2021-09-05 21:52:16,2023-01-20 07:41:53
13,1,195,Toronto Office Room 10,7,2021-08-05 21:39:13,2022-12-06 13:18:56
14,0,154,Hong Kong Office Room 19,9,2021-06-07 14:07:49,2022-06-14 08:09:44
15,1,112,Hong Kong Office Room 24,9,2021-08-14 22:36:39,2022-09-09 16:04:22
16,1,53,Singapore Office Room 25,11,2022-05-13 08:00:36,2023-03-27 00:51:43
17,1,181,Leeds Office Room 17,2,2021-07-25 19:02:49,2023-01-20 17:14:20
18,0,120,Toronto Office Room 18,7,2022-02-18 04:40:41,2022-09-27 11:46:49
19,0,46,Frankfurt Office Room 26,8,2022-04-01 14:50:04,2023-02-17 12:58:49
20,0,63,Frankfurt Office Room 27,8,2021-11-22 06:35:08,2023-03-13 17:05:28
21,1,24,Hong Kong Office Room 15,9,2022-03-28 23:29:38,2023-03-11 10:22:28
22,0,21,Leeds Office Room 16,2,2021-11-05 18:38:42,2023-02-26 13:39:34
23,1,181,Reston Office Room 13,6,2022-02-10 18:34:21,2023-03-04 12:16:35
24,1,47,Shanghai Office Room 15,10,2022-03-03 12:14:48,2022-07-26 03:11:08
25,1,136,Hong Kong Office Room 7,9,2022-01-11 21:03:31,2023-04-11 09:29:11
26,0,121,Shanghai Office Room 9,10,2022-02-11 20:13:01,2022-07-05 13:00:31
27,0,178,New York City Office Room 3,5,2022-02-10 11:30:19,2022-07-15 20:58:02
28,1,69,Brighton Office Room 2,4,2021-06-13 19:47:08,2022-06-04 11:56:02
29,1,184,London Office Room 23,1,2021-10-19 19:58:49,2022-06-19 10:23:27
30,0,31,Brighton Office Room 25,4,2022-01-20 22:24:35,2022-10-26 06:15:48
31,0,46,Reston Office Room 12,6,2021-06-30 20:20:06,2022-10-01 12:38:15
32,0,87,London Office Room 28,1,2021-10-31 08:51:24,2022-09-10 13:33:31
33,0,39,Glasgow Office Room 13,3,2021-11-19 16:32:18,2022-07-02 07:11:41
34,1,57,Brighton Office Room 22,4,2021-12-04 06:00:21,2022-12-04 19:24:28
35,0,30,Hong Kong Office Room 29,9,2022-04-17 11:25:10,2023-01-22 15:30:25
36,1,35,Leeds Office Room 2,2,2021-10-13 16:07:15,2022-12-04 13:20:18
37,0,184,Brighton Office Room 15,4,2022-02-20 04:58:08,2022-07-28 16:35:26
38,1,47,Brighton Office Room 18,4,2021-08-17 22:01:26,2022-07-23 02:37:11
39,1,81,Brighton Office Room 17,4,2021-06-19 04:28:48,2023-04-25 11:13:16
40,0,195,Frankfurt Office Room 11,8,2022-05-14 11:13:34,2023-02-21 09:19:21
41,1,120,London Office Room 4,1,2021-12-10 18:41:31,2023-03-28 14:35:35
42,0,198,Leeds Office Room 15,2,2021-06-03 06:02:00,2023-04-27 19:10:33
43,0,176,Shanghai Office Room 25,10,2022-04-22 01:47:22,2022-09-29 05:24:01
44,1,59,Shanghai Office Room 30,10,2022-01-17 18:26:37,2022-06-25 03:54:21
45,0,167,London Office Room 26,1,2021-10-30 00:04:23,2022-07-28 17:44:48
46,1,78,Singapore Office Room 18,11,2022-01-04 22:02:14,2023-05-19 11:44:42
47,0,149,New York City Office Room 23,5,2022-04-04 00:24:53,2022-07-02 22:05:12
48,0,156,Frankfurt Office Room 5,8,2022-05-15 03:31:58,2023-02-17 07:47:14
49,0,104,Brighton Office Room 21,4,2021-12-13 00:13:42,2022-10-15 01:27:05
50,1,136,Sydney Office Room 29,12,2021-11-28 12:08:05,2023-03-06 07:30:54
51,1,55,Glasgow Office Room 20,3,2021-06-12 00:05:07,2022-09-27 17:32:59
52,1,154,Frankfurt Office Room 19,8,2021-09-01 11:25:19,2023-01-01 05:39:25
53,0,185,Glasgow Office Room 14,3,2022-02-09 09:25:52,2023-05-29 22:06:37
54,0,90,London Office Room 28,1,2021-07-16 13:12:40,2022-08-15 23:30:01
